pokemon,move,move_class,normalized_weighted_frequency,weighted_frequency,raw_count,unique_team_occurrences
arctozolt,hydro-pump,offense,0.5828861767241534,2.914430883620767,5,5
arctozolt,ice-beam,offense,0.5828861767241534,2.914430883620767,5,5
arctozolt,protect,utility,0.5828861767241534,2.914430883620767,5,5
bellibolt,protect,utility,0.5953336614516792,0.5953336614516792,1,1
bellibolt,thunder-wave,utility,0.5953336614516792,0.5953336614516792,1,1
bellibolt,thunderbolt,offense,0.5953336614516792,0.5953336614516792,1,1
blissey,protect,utility,0.5919274686540978,5.919274686540978,10,10
blissey,soft-boiled,recovery,0.5919274686540978,5.919274686540978,10,10
blissey,stealth-rock,hazard,0.5919274686540978,5.919274686540978,10,10
cobalion,body-press,offense,0.5870852648878905,0.5870852648878905,1,1
cobalion,close-combat,offense,0.5870852648878905,0.5870852648878905,1,1
cobalion,protect,utility,0.5870852648878905,0.5870852648878905,1,1
eelektross,close-combat,offense,0.6009684426142397,1.2019368852284793,2,2
eelektross,dragon-claw,offense,0.6009684426142397,1.2019368852284793,2,2
eelektross,knock-off,offense,0.6009684426142397,1.2019368852284793,2,2
electivire,earthquake,offense,0.6037866281200263,1.2075732562400525,2,2
electivire,knock-off,offense,0.6037866281200263,1.2075732562400525,2,2
electivire,protect,utility,0.6037866281200263,1.2075732562400525,2,2
hitmonchan,close-combat,offense,0.5710500747777052,0.5710500747777052,1,1
hitmonchan,drain-punch,offense,0.5710500747777052,0.5710500747777052,1,1
hitmonchan,earthquake,offense,0.5710500747777052,0.5710500747777052,1,1
houndstone,body-press,offense,0.6028896030455321,1.8086688091365961,3,3
houndstone,protect,utility,0.6028896030455321,1.8086688091365961,3,3
houndstone,shadow-ball,offense,0.6028896030455321,1.8086688091365961,3,3
kangaskhan,drain-punch,offense,0.589802910408922,0.589802910408922,1,1
kangaskhan,earthquake,offense,0.589802910408922,0.589802910408922,1,1
kangaskhan,ice-beam,offense,0.589802910408922,0.589802910408922,1,1
landorus-incarnate,defog,utility,0.604283389889854,0.604283389889854,1,1
landorus-incarnate,knock-off,offense,0.604283389889854,0.604283389889854,1,1
landorus-incarnate,taunt,utility,0.604283389889854,0.604283389889854,1,1
landorus-therian,defog,utility,0.5905545885167915,5.314991296651124,9,9
landorus-therian,knock-off,offense,0.5905545885167915,5.314991296651124,9,9
landorus-therian,taunt,utility,0.5905545885167915,5.314991296651124,9,9
lucario,close-combat,offense,0.5725681856505055,0.5725681856505055,1,1
lucario,dark-pulse,offense,0.5725681856505055,0.5725681856505055,1,1
lucario,drain-punch,offense,0.5725681856505055,0.5725681856505055,1,1
mimikyu-busted,dark-pulse,offense,0.5801266089312558,2.320506435725023,4,4
mimikyu-busted,drain-punch,offense,0.5801266089312558,2.320506435725023,4,4
mimikyu-busted,protect,utility,0.5801266089312558,2.320506435725023,4,4
obstagoon,body-press,offense,0.5966998138931197,1.790099441679359,3,3
obstagoon,close-combat,offense,0.5966998138931197,1.790099441679359,3,3
obstagoon,ice-beam,offense,0.5966998138931197,1.790099441679359,3,3
okidogi,body-press,offense,0.5997947084693258,3.598768250815955,6,6
okidogi,close-combat,offense,0.5997947084693258,3.598768250815955,6,6
okidogi,drain-punch,offense,0.5997947084693258,3.598768250815955,6,6
porygon-z,dark-pulse,offense,0.5769011751053671,1.7307035253161012,3,3
porygon-z,ice-beam,offense,0.5769011751053671,1.7307035253161012,3,3
porygon-z,recover,recovery,0.5769011751053671,1.7307035253161012,3,3
tapu-fini,defog,utility,0.5997947084693258,3.598768250815955,6,6
tapu-fini,haze,utility,0.5997947084693258,3.598768250815955,6,6
tapu-fini,protect,utility,0.5997947084693258,3.598768250815955,6,6
zamazenta,body-press,offense,0.589802910408922,0.589802910408922,1,1
zamazenta,close-combat,offense,0.589802910408922,0.589802910408922,1,1
zamazenta,moonblast,offense,0.589802910408922,0.589802910408922,1,1
